Time,Followers,Tweets
17:04,21751,3826
17:19,21751,3820
17:19,21751,3820
17:20,21751,3820
17:50,21752,3820
18:20,21755,3820
18:50,21758,3820
19:20,21757,3820
19:50,21758,3820
20:20,21759,3820
20:50,21762,3820
21:20,21762,3820
21:50,21766,3820
22:20,21766,3820
22:50,21766,3820
23:18,21766,3819
23:48,21765,3819
00:18,21765,3819
00:48,21766,3819
01:18,21766,3819
01:48,21762,3819
02:18,21764,3819
02:48,21768,3819
03:18,21766,3819
03:48,21768,3819
04:18,21767,3819
04:48,21770,3819
05:18,21774,3819
05:48,21773,3819
06:18,21772,3819
06:48,21773,3819
07:18,21772,3819
07:48,21772,3819
08:18,21775,3819
08:48,21774,3821
09:18,21773,3824
09:48,21775,3824
10:18,21779,3825
10:48,21782,3825
11:18,21784,3825
11:48,21784,3830
12:18,21783,3830
12:48,21777,3830
13:18,21780,3833
13:48,21782,3838
14:18,21783,3846
14:48,21777,3850
15:18,21779,3851
15:48,21782,3851
16:18,21784,3841
16:48,21785,3841
17:18,21784,3853
17:48,21782,3854
18:18,21777,3857
18:48,21781,3857
19:18,21782,3857
19:48,21783,3857
20:18,21783,3857
20:48,21782,3857
21:18,21784,3857
21:48,21784,3857
22:18,21782,3857
22:48,21782,3857
23:18,21784,3857
23:48,21784,3857
00:18,21782,3857
00:48,21786,3857
01:18,21785,3857
01:48,21789,3857
02:18,21795,3857
02:48,21797,3857
03:18,21800,3857
03:48,21803,3857
04:18,21808,3857
04:48,21809,3857
05:18,21810,3857
05:48,21811,3857
06:18,21819,3857
06:48,21827,3857
07:18,21825,3858
07:48,21829,3858
08:18,21829,3860
08:48,21833,3863
09:18,21837,3865
09:48,21841,3865
10:18,21842,3866
10:48,21843,3867
11:18,21845,3867
11:48,21850,3867
12:18,21852,3889
12:48,21853,3889
13:18,21857,3889
13:48,21861,3890
14:18,21867,3890
14:48,21871,3893
15:18,21873,3895
15:48,21882,3895
16:18,21885,3897
16:48,21891,3897
17:18,21905,3898
18:31,21921,3904
18:31,21921,3904
18:46,21922,3904
19:01,21923,3904
19:17,21927,3904
19:32,21929,3904
19:47,21929,3904
20:02,21931,3904
20:17,21935,3904
20:32,21936,3904
20:47,21937,3904
21:02,21939,3904
21:17,21941,3904
21:32,21943,3904
21:47,21946,3904
22:02,21949,3904
22:17,21950,3904
22:32,21949,3904
22:47,21949,3904
23:02,21949,3904
23:17,21948,3904
23:32,21949,3904
23:47,21950,3904
00:02,21949,3904
00:17,21949,3904
00:32,21949,3904
00:47,21953,3904
01:02,21952,3904
01:17,21954,3904
01:32,21953,3904
01:47,21953,3904
02:02,21955,3904
02:17,21957,3904
02:32,21959,3904
02:47,21960,3904
03:02,21961,3904
03:17,21962,3904
03:32,21962,3904
03:47,21965,3904
04:02,21966,3904
04:17,21967,3904
04:32,21971,3904
04:47,21974,3904
05:02,21975,3904
05:17,21977,3904
05:32,21978,3904
05:47,21979,3904
06:02,21980,3904
06:17,21982,3904
06:32,21986,3904
06:47,21989,3904
07:02,21991,3904
07:17,21992,3904
07:32,21996,3908
07:47,21997,3910
08:02,21998,3911
08:17,21999,3914
08:32,21999,3914
08:47,22000,3914
09:02,22001,3915
09:17,22001,3917
09:32,22002,3918
09:47,22004,3918
10:02,22003,3918
10:17,22004,3918
10:32,22005,3918
10:47,22008,3918
11:02,22008,3918
11:17,22013,3918
11:32,22015,3918
11:47,22017,3918
12:02,22019,3918
12:17,22022,3918
12:32,22024,3918
12:47,22027,3918
13:02,22028,3918
13:17,22028,3918
13:32,22030,3918
13:47,22030,3919
14:02,22030,3919
14:17,22032,3926
14:32,22032,3926
14:47,22036,3929
15:02,22033,3929
15:17,22033,3930
15:32,22034,3929
15:47,22032,3929
16:02,22031,3929
16:17,22033,3929
16:32,22034,3929
16:47,22033,3929
17:02,22034,3930
17:17,22035,3930
17:32,22035,3930
17:47,22035,3930
18:02,22035,3930
18:17,22036,3931
18:32,22036,3933
18:47,22033,3933
19:02,22033,3934
19:17,22031,3934
19:32,22030,3934
19:47,22032,3934
20:02,22033,3934
20:17,22033,3935
20:32,22035,3935
20:47,22035,3935
21:02,22035,3935
21:17,22040,3935
21:32,22040,3936
21:47,22040,3936
22:02,22040,3936
22:17,22040,3936
22:32,22041,3936
22:47,22042,3936
23:02,22042,3936
23:17,22042,3936
23:32,22042,3936
23:47,22042,3936
00:02,22042,3936
00:17,22042,3936
00:32,22042,3936
00:47,22042,3936
01:02,22043,3936
01:17,22043,3936
01:32,22044,3936
01:47,22044,3936
02:02,22045,3936
02:17,22045,3936
02:32,22038,3936
02:47,22039,3936
03:02,22039,3936
03:17,22044,3936
03:32,22044,3936
03:47,22045,3936
04:02,22046,3936
04:17,22046,3936
04:32,22046,3936
04:47,22047,3937
05:02,22045,3938
05:17,22045,3938
05:32,22046,3938
05:47,22046,3944
06:02,22045,3944
06:17,22045,3944
06:32,22040,3944
06:47,22038,3944
07:02,22039,3937
07:17,22039,3938
07:32,22039,3938
07:47,22041,3938
08:02,22043,3938
08:17,22043,3938
08:32,22044,3938
08:47,22044,3939
09:02,22045,3938
09:17,22045,3938
09:32,22047,3938
09:47,22048,3938
10:02,22048,3938
10:17,22050,3939
10:32,22051,3939
10:47,22054,3939
11:02,22056,3939
11:17,22056,3939
11:32,22057,3941
11:47,22059,3941
12:02,22062,3941
12:17,22065,3942
12:32,22069,3942
12:47,22070,3942
13:02,22071,3942
13:17,22072,3942
13:32,22073,3942
13:47,22070,3956
14:02,22072,3956
14:17,22073,3956
14:32,22075,3956
14:47,22077,3956
15:02,22078,3956
15:17,22082,3957
15:32,22084,3958
15:47,22091,3958
16:02,22096,3958
16:17,22106,3959
16:32,22115,3959
16:47,22125,3959
17:02,22132,3959
17:17,22137,3959
17:32,22143,3959
17:47,22159,3960
18:02,22163,3960
18:17,22168,3960
18:32,22178,3961
18:47,22184,3960
19:02,22190,3960
19:17,22196,3960
19:32,22201,3960
19:47,22202,3961
20:02,22209,3961
20:17,22216,3961
20:32,22221,3961
20:47,22224,3961
21:02,22233,3961
21:17,22237,3961
21:32,22243,3961
21:47,22245,3962
22:02,22251,3962
22:17,22257,3962
22:32,22260,3962
22:47,22268,3962
23:02,22271,3964
23:17,22274,3964
23:32,22280,3964
23:47,22282,3964
00:02,22288,3964
00:17,22289,3964
00:32,22290,3964
00:47,22293,3964
01:02,22296,3964
01:17,22296,3965
01:32,22300,3965
01:47,22303,3965
02:02,22306,3965
02:17,22307,3965
02:32,22311,3965
02:47,22314,3965
03:02,22320,3965
03:17,22320,3965
03:32,22326,3967
03:47,22330,3967
